== defaults.h guards 214 names with a matching #ifndef/#define pair
== the primary's tm.h chain defines 14422 names (defaults.h body suppressed)
== control: defaults.h's own DWARF_CIE_DATA_ALIGNMENT is absent, as it must be
== multi-target-macros.h #undefs 79 names

NAME                                     VERDICT
TARGET_LIBC_PROVIDES_SSP                 DEAD-LEAK
TARGET_LIB_INT_CMP_BIASED                LIVE
TARGET_MEM_CONSTRAINT                    LIVE
TARGET_PECOFF                            LIVE
TARGET_PTRMEMFUNC_VBIT_LOCATION          DEAD-LEAK
TARGET_SUPPORTS_WEAK                     LIVE
TARGET_SUPPORTS_WIDE_INT                 DEAD-LEAK
TARGET_USES_WEAK_UNWIND_INFO             LIVE
TARGET_USE_WEAKREF                       LIVE
TARGET_VTABLE_DATA_ENTRY_DISTANCE        LIVE
TARGET_VTABLE_ENTRY_ALIGN                LIVE
TARGET_VTABLE_USES_DESCRIPTORS           LIVE
TARGET_WEAK_NOT_IN_ARCHIVE_TOC           LIVE
TLS_COMMON_ASM_OP                        LIVE
TRAMPOLINE_ALIGNMENT                     LIVE
UINT16_TYPE                              DEAD-LEAK
UINT32_TYPE                              DEAD-LEAK
UINT64_TYPE                              DEAD-LEAK
UINT8_TYPE                               DEAD-LEAK
UINT_FAST16_TYPE                         DEAD-LEAK
UINT_FAST32_TYPE                         DEAD-LEAK
UINT_FAST64_TYPE                         DEAD-LEAK
UINT_FAST8_TYPE                          DEAD-LEAK
UINT_LEAST16_TYPE                        DEAD-LEAK
UINT_LEAST32_TYPE                        DEAD-LEAK
UINT_LEAST64_TYPE                        DEAD-LEAK
UINT_LEAST8_TYPE                         DEAD-LEAK
UINTMAX_TYPE                             LIVE
UINTPTR_TYPE                             DEAD-LEAK
USE_GNU_UNIQUE_OBJECT                    DEAD-LEAK
USER_LABEL_PREFIX                        DEAD-LEAK
WCHAR_TYPE                               REDIRECTED
WCHAR_TYPE_SIZE                          DEAD-LEAK
WINT_TYPE                                LIVE
WORD_REGISTER_OPERATIONS                 LIVE

== DEAD-LEAK 75   REDIRECTED 26   LIVE 113   (of 214)
== DEAD-LEAK is a QUEUE, not a bug list: each name still needs asking
   whether its value differs between back ends and whether shared code
   reads it.  STACK_SAVEAREA_MODE was on this list and was worth 69 rows.
