PROMOTE_MODE	31	25	1	PRESENCE	MINORITY	5	(MODE,UNSIGNEDP,TYPE) do { if (((MODE) == HImode && TARGET_PROMOTE_HI_REGS) || ((MODE) == QImode && TARGET_PROMOTE_QI_REGS)) (MODE) = SImode; } while (0)	(MODE,UNSIGNEDP,TYPE) if (GET_MODE_CLASS (MODE) == MODE_INT && GET_MODE_SIZE (MODE) < 4) { if (MODE == QImode || MODE == HImode) { MODE = SImode; } }
UINTMAX_TYPE	48	1	48	agree	majority	1	((INT_TYPE_SIZE == LONG_LONG_TYPE_SIZE) ? "unsigned int" : ((LONG_TYPE_SIZE == LONG_LONG_TYPE_SIZE) ? "long unsigned int" : "long long unsigned int"))	((INT_TYPE_SIZE == LONG_LONG_TYPE_SIZE) ? "unsigned int" : ((LONG_TYPE_SIZE == LONG_LONG_TYPE_SIZE) ? "long unsigned int" : "long long unsigned int"))
BIGGEST_FIELD_ALIGNMENT	2	2	46	PRESENCE	majority	6	<undefined>	<undefined>
TARGET_DEFERRED_OUTPUT_DEFS	48	1	48	agree	majority	1	(DECL,TARGET) false	(DECL,TARGET) false
SUBALIGN_LOG	1	1	47	PRESENCE	majority	1	<undefined>	<undefined>
ASM_FPRINTF_EXTENSIONS	2	2	1	PRESENCE	MINORITY	1	(FILE,ARGS,P) case 'z': fputc (TARGET_64BIT ? 'q' : 'l', (FILE)); break; case 'r': { unsigned int regno = va_arg ((ARGS), int); if (LEGACY_INT_REGNO_P (regno)) fputc (TARGET_64BIT ? 'r' : 'e', (FILE)); fputs (reg_names[regno], (FILE)); break; }	<undefined>
ASM_OUTPUT_OPCODE	7	7	1	PRESENCE	MINORITY	3	(STREAM,PTR) ASM_OUTPUT_AVX_PREFIX ((STREAM), (PTR))	<undefined>
HAVE_COMDAT_GROUP	48	2	7	VALUE	MINORITY	1	0	1
WORD_REGISTER_OPERATIONS	48	1	48	CONVERTED	majority	1	(targetm_cdata.word_register_operations)	(targetm_cdata.word_register_operations)
TARGET_HAS_FMV_TARGET_ATTRIBUTE	48	2	45	VALUE	majority	1	1	0
TARGET_ALIGN_NATURAL	1	1	47	PRESENCE	majority	1	<undefined>	<undefined>
TARGET_USES_WEAK_UNWIND_INFO	48	2	2	VALUE	MINORITY	1	1	0
LOCAL_LABEL_PREFIX	29	4	19	PRESENCE	MINORITY	1	<undefined>	"."
